id,price
82476-898,410000
95179-495,110000
2401-12882,1270000
78414-21488,179000
9636-12130,5500000
84929-5890,550000
6060-35240,285000
6001-156,600000
68267-1301,275000
82574-375,450000
19744-18688,220000
51505-285,810000
74348-3141,1285000
6786-14290,339000
0-32016682,660000
4480-16432,445000
104765-310,135000
6166-19600,440000
33261-2364,495000
94651-718,375000
99090-941,185000
93678-4116,96000
5647-2074,590000
26004-11781,259000
106972-7,175000
93737-263,199000
9272-788,309000
4744-7453,695000
95179-482,110000
80845-112,420000
99784-1688,430000
83478-510,369000
70698-913,145000
84156-859,399000
51505-303,1650000
82476-1117,295000
86504-515,350000
82414-9,535000
64277-2403,290000
2608-1969,3600000
0-27129827,3500000
9636-11394,50000000
6334-27609,330000
79698-744,980000
10000-14525,1340000
84036-4576,194000
79700-151,2450000
93386-384,198000
66052-395,415000
94544-127,650000
41719-3227,199900
41016-139,1400000
10039-1187,313000
1204-165408,725000
5782-3733,278000
5225-12545,419000
34887-347,275000
93825-3731,205000
79700-223,875000
82476-1112,364000
85070-44,465865
82476-732,410000
74389-1270,650000
88213-587,155000
13402-96135,490000
72154-432,575000
0-26463571,475000
41876-3554,275000
79520-65,930000
5782-3811,295000
7652-129803,695000
4241-2029,1250000
99090-1055,265000
45177-2347,116000
58394-850,590000
90564-197,255000
6166-19482,370000
76785-3155,285000
77162-2824,270000
10575-1266,185000
49204-833,750000
95179-496,119000
2322-896,370000
0-32336434,1260000
30001-5018,910000
1100-9521,750000
59368-2282,495000
46861-6703,175000
94368-154,1903000
5121-801,480000
61156-3650,275000
94544-141,420000
9434-2051,200000
53453-1677,425000
52813-1058,180000
41035-1922,310000
6623-1520,209999
85166-11,430000
94792-67,250000
0-32279707,2900000
50378-181,467000
106082-21,295000
8315-6219,470000
5837-4517,650000
52813-934,112000
7090-7407,480000
100097-71,175000
70919-1714,620000
91638-324,1750000
97600-1095,149000
58238-164,280000
104765-305,152000
6060-35244,380000
6792-2395,900000
91032-624,223000
14072-9181,320000
31610-10144,270000
82476-1096,229000
103168-72,133500
5121-3115,360000
84036-5456,265000
1757-2141,6500000
93630-192,235000
107257-2,1300000
5225-12634,283000
100279-20,400000
58238-252,295000
72154-610,375000
82566-445,325000
51977-1591,260000
0-32356439,270000
82476-927,350000
1565-1889,750000
1100-9522,1250000
13407-3281,315000
73109-782,370000
35033-3435,495000
85166-272,228000
6060-35175,350000
94533-38,203000
3286-5968,146000
3100-4444,399000
51109-3123,260000
57035-58,325000
31522-8716,249000
81137-2655,950000
2545-4043,137000
68267-1319,596949
92647-968,589000
10000-14562,2690000
77162-2818,275000
99090-779,195000
73317-415,230000
35033-3432,820000
21671-4584,1350000
79215-49869,1375000
6001-155,625000
3552-726,3500000
94543-143,675000
93675-325,285000
88213-640,198000
82476-1125,179000
4744-7483,595000
73382-287,400000
107041-14,420000
73618-7497,129000
82476-1103,349000
90564-181,785000
2312-18195,1440000
28880-1930,479000
82476-1106,495000
7433-3649,355000
82476-842,390000
82476-1050,179000
79780-3,760000
107581-1,380000
6135-3854,1075000
0-32082496,340000
2608-1305,5000000
81759-207,3750000
44494-1442,209000
73188-1248,400000
83113-1325,135000
2703-14958,425000
25807-1768,279000
4993-2647,1450000
0-31421659,660000
88213-651,375000
6060-35018,235000
62836-33,996500
91032-584,58000
28880-1823,525000
4537-6396,335000
0-32344829,335000
41152-1130,280000
71433-1139,1250000
82476-1126,375000
1259-10887,1025000
8735-1230,300000
4367-3897,535000
76785-3273,215000
1560-5152,290000
43480-7862,137000
3552-933,1500000
15474-1144,125000
13402-96522,699000
0-32339108,420000
73618-7470,300000
104765-147,120000
60904-806,185000
2460-2127,1099000
94544-2,155000
63555-9239,550000
0-32163110,700000
31610-10148,780000
0-31567127,389000
79700-152,675000
13402-96194,585000
71433-2075,700000
0-9487806,850000
52813-1080,280000
77261-1278,465000
80628-347,125000
77882-197,6750000
62574-1721,875000
61727-2275,280000
0-32369028,975000
86071-201,650000
1152-2292,11820000
31522-8511,133000
6060-35126,590000
72190-625,610000
61943-2109,190000
6786-14326,283000
90004-788,1290000
106426-3,469000
106581-46,130000
83304-1519,520000
0-31970853,590000
94651-685,210000
63555-9219,415000
6524-2550,420000
5782-3773,435000
97600-1014,133000
99090-991,280000
83113-1324,205000
17043-1373,146000
84036-3858,210000
73317-266,310000
82917-9323,110000
1500-16176,425000
88541-747,195000
28110-7495,178000
92090-2130,270000
88126-92,550000
10943-1299,699000
15920-3669,2550000
0-27277804,670000
63555-9081,850000
9636-11832,7250000
94581-267,2220000
83113-1278,180000
6060-35121,410000
30001-4861,395000
18143-4575,175000
4846-2979,700000
103119-523,260000
64542-9958,172000
6001-137,640000
80348-3640,275000
52878-48,900000
0-32283233,1790000
92160-478,140000
77789-1207,155000
2460-2130,199000
9434-2143,365000
41152-1126,535000
50979-566,375000
82331-581,208000
59368-1832,6500000
97600-882,185000
0-32296396,850000
0-31694508,480000
93630-251,200000
0-32335606,345000
93096-484,179900
10943-1862,389000
51505-227,833000
96508-42,240000
33002-5693,1150000
94905-236,195000
32154-225,557000
99090-630,155000
46861-6696,215000
65718-261,500000
57666-1400,225000
102972-132,382000
77162-2758,490000
57012-3559,299000
24453-5607,387000
97955-2,210000
93299-32,395000
1252-7326,6000000
61913-1951,409000
87329-251,185000
1339-1756,166000
6166-19451,625000
3918-3160,555000
691716-106,330000
59693-592,120000
94581-262,445000
32120-2454,610000
21550-2667,579000
5121-2603,870000
92090-2133,459000
30001-4820,315000
77789-1189,325000
0-31552711,330000
51505-141,1150000
59368-2315,315000
2312-17970,695000
92090-1001,369000
6792-2550,320000
23112-1108,420000
63555-8937,690000
93386-359,92000
62493-943,350000
43232-975,400000
6166-19916,405000
23862-11260,143000
94586-275,187000
34297-1950,315000
77162-2723,280000
5060-793,345000
81137-2663,830000
91032-189,79000
82476-1113,395000
63021-4768,349000
82476-1087,124000
0-31797269,900000
91638-321,1400000
1500-16324,260000
7167-12262,14850000
86231-2354,130000
94618-26,2200000
84929-5756,140000
6060-34476,510000
61156-3839,235000
63555-8515,285000
76459-42,365000
92058-9,735000
28880-1536,549000
59368-2285,330000
82476-1115,380000
0-27632513,670000
65585-678,870000
77789-1181,400000
15878-10694,154000
57012-3841,169000
2831-1916,900000
0-15161835,1060000
64413-962,388000
6266-6191,128000
84401-645,350000
77162-2790,275000
5974-1069,1200000
17811-6291,358000
94581-271,1620000
9636-11901,5200000
65106-329,170000
94256-145,165000
98493-16,492000
46377-5158,560000
92090-1410,479000
56586-1472,118000
33002-5646,225000
28880-1950,629000
3920-5822,1680000
6001-157,605000
0-31918587,580000
8000-168,334000
94256-189,210000
92160-542,134000
34297-2001,475000
4846-2882,940000
84028-325,184000
26004-11783,275000
26004-11776,299000
5121-2960,305000
51977-1809,270000
1500-16264,115000
52878-47,800000
32154-199,515000
71433-2517,465000
47297-1635,900000
9636-11770,2750000
93630-232,245000
52813-1062,300000
1152-2180,18000000
77162-2303,270000
96922-221,189000
61174-2058,1450000
54389-1147,1499000
59693-567,165000
1252-7372,8400000
31397-4202,460000
4241-2001,900000
73317-414,475000
8272-24717,1900000
94655-32,1150000
1972-3590,2750000
104765-49,128000
0-31844188,2250000
0-32185831,1325000
42144-4654,190000
1678-858,1575000
79698-592,250000
58238-290,210000
3552-1228,7800000
57035-62,465000
86071-198,250000
80628-328,145000
3763-4380,440000
107243-14,210000
76029-2549,660000
92160-381,257000
14559-1164,279000
2726-6818,195000
4744-7429,845000
84929-5648,200000
16139-1435,175000
0-32091583,850000
92090-1004,1150000
82476-944,239000
78414-21474,175000
9856-1072,390000
106245-12,185000
0-32303400,1575000
59368-2243,235000
73255-937,190000
50979-254,240000
1252-7382,13500000
6181-15719,1780000
15186-1141,510000
58364-2477,389000
92769-675,527000
5733-5902,360000
50860-1313,420000
71170-207,475000
91814-306,295000
16761-22829,279000
91527-3444,759000
16761-22865,240000
95188-283,235000
49759-6613,255000
2703-15269,295000
69537-49803,1350000
16761-22835,273000
103106-39,142000
4692-1474,2950000
54979-9762,148000
95358-87,550000
95879-980,399000
0-32354036,1200000
26004-11760,260000
31522-8796,185000
49446-3083,390000
86892-1755,345000
99981-103,470000
3393-2733,305000
25532-5104,1775000
3493-17885,300000
64211-1560,2000000
59689-2208,255000
53744-2394,198500
6788-18598,387000
65739-8417,225000
93460-981,179000
8343-1295,650000
77293-2002,97000
60362-51108,8750000
31316-7256,270000
100779-22,385000
92941-2381,850000
31522-8727,205000
93832-769,800000
80317-4757,320000
43996-7638,202000
7524-4679,465000
65161-5323,450000
26940-2996,570000
99090-818,169500
94398-657,150000
31745-10895,260000
3736-924,1390000
2046-17088,1200000
6788-18610,312000
9047-1086,370000
73025-5386,425000
84758-181,350000
39672-8523,1050000
26004-11906,399000
86604-3072,530000
91527-3397,225000
4380-8892,390000
93678-4309,270000
28284-2493,7200000
95155-590,107000
50083-5270,265000
18707-10308,6000000
63555-9249,490000
97141-4594,188000
87808-637,175000
86121-2467,400000
692609-1817,249000
26004-11874,950000
90618-716,170000
31522-8704,390000
26004-11878,265000
106423-203,1200000
95155-588,125000
39085-3408,425000
58364-2463,189000
82127-13237,720000
93093-342,475000
79621-1489,175000
87967-6927,235000
92223-1213,60000
72009-2114,390000
16761-22751,208000
91210-223,400000
2602-5076,393000
37957-12617,182000
51977-1795,240000
5828-1061,430000
14497-8971,179000
7417-4867,980000
2495-2068,350000
36851-7847,245000
46555-6805,165000
43936-10905,375000
70637-653,1450000
26004-11911,320000
45153-3051,419000
85929-3166,145000
43996-7643,310000
1077-62632,1690000
86604-3119,75000
107041-54,420000
3286-6145,333000
31522-9058,139000
31522-8628,150000
31522-8910,158000
80317-4756,560000
40322-3135,450000
93645-383,325000
105972-114,469000
106678-9,370000
91527-3528,187000
3339-3464,950000
26004-11900,338000
88374-1105,147500
0-32394476,210000
2472-6070,185000
33208-4546,1100000
105972-91,682000
49694-2514,1075000
89876-47,2350000
4476-26159,305000
99981-112,215000
58364-2493,265000
56805-2143,325000
49157-16398,605000
28568-10790,205000
36429-4544,290000
54388-747,148000
33100-6609,350000
31522-8858,415000
95155-589,210000
105972-31,89000
43480-7822,300000
87967-6922,255500
64211-1529,660000
65431-5956,122000
16761-22753,247000
95382-2261,350000
68974-6920,155000
4937-4026,375000
33046-2738,430000
97798-571,520000
23746-12135,280000
92035-356,113000
5837-4498,128000
58364-2439,360000
691738-1004,225000
31397-4903,390000
105972-119,150000
104017-85,349000
1723-3064,825000
28880-2006,245000
107041-38,780000
691737-1039,185000
81331-633,127000
1668-12611,25000000
88541-765,219000
82481-340,270000
104141-230,283000
28568-10759,178000
23761-75227,830000
49759-6521,160000
50979-260,140000
82574-264,575000
51505-202,933000
22457-185,10000
86231-2353,130000
48602-1489,2200000
82476-894,239000
0-31031044,122500
6792-2547,295000
5121-3209,480000
5121-2613,560000
28880-1952,529000
99801-107,695000
82476-764,320000
100880-23,350000
19492-1940,290000
74348-3133,3000000
97955-5,225000
94194-238,218000
3353-532,239000
44354-1521,253000
18435-3476,180000
10000-14565,1495000
26004-11772,399000
96508-81,190000
34925-3478,1050000
3483-2672,379000
13402-96572,690000
84036-5293,174000
52813-1081,260000
81137-2515,750000
46377-5027,1445000
37563-2947,200000
87437-116,524000
6792-2549,575000
82172-1387,210000
3596-2643,1300000
18035-1124,1100000
84951-797,450000
91324-792,590000
31397-4189,395000
0-32195162,267000
0-27566545,229000
92090-878,349000
88213-621,156000
30407-759,745000
15878-10646,520000
4480-16024,370000
5782-3795,292000
3920-6560,1520000
86876-517,315000
691717-501,67500
3286-6176,159000
1252-7388,10500000
51505-7,1150000
94398-677,340000
106048-12,60000
5225-12730,580000
5924-1618,475000
10039-1179,239000
81975-806,485000
77162-2509,750000
68267-1306,273025
91324-770,640000
94368-141,375000
81975-812,265000
0-27108904,1250000
6060-35183,495000
92168-242,139999
106599-58,400000
91638-131,2950000
70496-974,295000
0-31936023,395000
51977-1689,398000
94651-665,198000
9682-1120,300000
86071-186,575000
6623-1523,249999
81975-814,265000
93825-3678,210000
44494-1447,155000
54777-454,480000
87566-42,245000
0-31255612,409000
85841-301,185000
23862-11268,150000
14946-9069,1270000
49446-2975,280000
6334-27604,380000
79700-215,340000
68267-1365,449999
104765-294,205000
94651-692,375000
104765-278,135000
102746-167,229000
97600-1112,750000
31745-10907,2500000
26004-11755,420000
90808-1162,287000
16761-22836,189000
1077-62633,3250000
15186-1144,485000
82481-348,375000
3286-6168,389000
1186-4458,230000
65067-524,359000
4480-16631,320000
107245-6,410000
106833-8,280000
6786-14323,259000
70383-2811,250000
16761-22816,300000
107041-55,675000
2744-10737,272000
31522-8612,180000
94651-725,268000
31522-9057,285000
34525-2623,185000
90771-566,230000
85357-177,500000
35882-18493,1575000
65431-5957,169000
92941-2394,1300000
41719-3229,120000
33100-6610,620000
1427-5141,420000
84722-333,182000
1723-3063,1250000
1723-3065,1150000
15227-4130,430000
91527-3507,349000
97120-740,265000
76043-335,210000
63728-1599,575000
87288-510,126000
1170-3957,250000
15186-1140,190000
68131-1494,275000
16761-22832,309000
6166-19829,349000
86604-3050,155000
46932-4163,360000
31522-8797,318000
3393-2738,445000
70586-2347,117000
7697-13759,280000
107468-30,205000
50668-6389,159500
4480-16587,270000
1723-3096,1240000
4480-16653,315000
41301-1494,2100000
107468-31,225000
65187-1749,156000
59864-2430,149000
6266-6229,138000
106423-201,350000
82413-4973,460000
82481-345,187000
70185-3546,575000
16761-22645,229000
60061-684,550000
26004-11813,299000
31522-8721,310000
99090-1056,150000
5555-29098,1900000
2545-4057,210000
2233-14148,228000
18143-4630,260000
31522-8728,175000
76043-336,147000
88875-414,530000
16761-22874,564000
62840-1140,144000
37957-12611,215000
10601-1522,290000
16761-22862,259000
71832-1145,175000
26004-11901,340000
98386-247,115000
96718-367,395000
73297-2422,144500
3834-535,925000
29305-9544,750000
94450-150,225000
56119-12243,223000
3393-2743,230000
6890-5884,495000
71433-2524,1050000
19413-2059,170000
48689-5097,400000
106423-82,650000
2824-7609,540000
76267-178,1250000
0-32391401,125000
64048-942,350000
6788-18800,579000
93678-4310,275000
106153-59,75000
1004-745,1050000
34525-2625,212000
74716-910,175000
43996-7645,300000
74348-3164,2800000
64211-1534,310000
692471-156,370000
14762-547,2200000
31397-4906,450000
90808-1159,315000
52143-2458,305000
106701-38,150000
0-32394063,485000
35361-15401,11000000
86019-810,325000
84310-1035,729000
1049-158735,1000000
93257-855,2100000
89176-1668,325000
692609-1780,525000
3393-2732,420000
97670-1073,168000
31522-8705,390000
99090-1059,180000
91527-3499,365000
14072-9168,319000
14637-1338,500000
691690-832,495000
86876-526,650000
9515-2579,275000
4480-16586,205000
2046-17083,5000000
26004-11909,210000
2250-792,275000
50064-1102,232000
46932-4160,285000
50860-1320,187000
10227-16985,2290000
26004-11873,320000
58364-2464,220000
16354-16030,149000
80101-534,400000
15186-1156,445000
55899-44467,323000
1723-3086,1125000
81137-2699,1545000
28568-10786,279000
96327-270,284000
40842-4874,380000
18143-4628,365000
106423-83,650000
95184-811,360000
74348-3158,970000
49694-2535,860000
6788-18638,387000
106732-1,240000
33208-4543,825000
3493-17826,225000
95976-440,305000
82413-4955,200000
30414-2679,425000
73540-6023,260000
36429-4546,385000
37531-438,410000
1004-746,1450000
46932-4165,400000
3191-7029,319000
1361-14211,3000000
87967-6923,114000
58364-2476,389000
43480-7832,110000
56147-4036,519000
107041-37,675000
1723-3100,1200000
54979-9754,223000
70185-3501,650000
691635-364,235000
49157-16406,430000
96718-370,250000
6788-18814,359000
4834-1082,255000
6786-14327,179000
43480-7870,158000
58364-2444,330000
31397-4887,550000
86121-2349,450000
89198-1258,187000
3010-72188,1215000
3393-2742,245000
92133-518,650000
3493-17866,135000
96922-230,215000
26004-11903,425000
17761-2461,450000
64211-1536,385000
5283-4958,950000
68766-2361,155000
87967-6944,174000
81137-2700,1545000
77293-2000,147500
65936-6966,182000
58364-2452,210000
97798-556,720000
54979-9753,259000
56367-1338,139900
3447-15442,435000
79571-2380,265000
26004-11848,245000
54023-1420,295000
55681-2950,490000
82413-5010,210000
88771-1438,240000
31397-4912,275000
4583-11145,248000
691737-1018,250000
4480-16632,159000
6675-7300,385000
5554-3338,850000
37957-12571,238000
691736-1071,230000
91527-3396,525000
94450-153,133000
46381-3106,417000
14497-8974,135000
77162-2834,790000
100531-95,205000
3493-17865,300000
104817-52,300000
81846-749,144500
3685-2591,540000
0-32394302,152000
73540-6028,230000
5218-1675,565000
35197-6414,150000
72795-2184,510000
67914-2233,390000
40243-6330,555000
102467-370,510000
26004-11817,1150000
26004-11912,320000
36851-7851,200000
77059-804,410000
7204-21696,550000
3834-537,625000
93832-761,365000
82476-1149,355000
6786-14322,259000
104421-28,119000
90618-648,130000
6792-2555,540000
31522-8724,320000
106451-22,475000
14497-8923,197000
82127-13229,1150000
65739-8413,250000
97803-39,325000
99090-1064,270000
71935-2850,230000
6788-18835,369000
11217-5929,895000
66803-650,235000
43936-10904,275000
73540-6018,250000
74348-3162,481500
79621-1490,250000
43674-1155,280000
69969-3855,285000
79571-2382,195000
93832-764,475000
86071-242,325000
28849-7036,99000
65411-9,138000
6890-5891,1250000
99243-141,470000
106987-18,241000
88420-1589,369000
21144-8803,460000
52714-3280,250000
64542-9991,175000
1723-3102,1295000
50668-6390,230000
1049-158729,950000
3834-533,595000
87967-6913,270000
97141-4588,128000
9598-980,750000
99351-397,185000
74234-8750,218000
6539-767,1450000
0-32394188,334000
31522-8883,229000
61174-2111,650000
76070-1544,340000
15356-5038,209000
44716-4190,125000
8292-3082,300000
42144-4679,119000
15878-10738,175000
97141-4595,305000
91527-3502,198000
16354-16025,165000
18707-10310,5500000
16744-17765,285000
38943-1061,290000
7516-3686,725000
5630-5151,1000000
25298-3407,229000
26004-11669,530000
105363-77,459000
2824-7537,850000
691739-1033,135000
51016-752,225000
46091-517,510000
93096-517,190000
5978-5352,295000
92828-1715,219000
46555-6813,164500
92941-2474,3000000
106581-27,310000
83304-1540,565000
93832-770,800000
1723-2949,1340000
99830-77,3850000
59717-1139,180000
49157-16417,670000
36851-7823,197000
80101-531,415000
54979-9777,217500
5837-4525,250000
1493-11378,175000
16354-16050,118000
26004-11879,780000
31397-4902,950000
65739-8414,358000
55020-848,245000
6166-19976,560000
86604-3079,163000
91527-3426,283000
68088-474,190000
33208-4541,2000000
31779-8854,520000
95259-212,200000
76295-1842,458000
4714-3761,778000
5225-12757,155000
106733-66,192500
26964-83904,1650000
68764-798,120000
691550-844,119000
1723-3082,1050000
4510-11061,595000
97600-1140,550000
81137-2698,1545000
31397-4890,630000
87609-1333,169000
17468-9578,550000
6890-5954,600000
1773-1030,15150000
14497-8945,88000
2046-17079,600000
98824-90,147000
74234-8780,475000
104105-86,395000
3393-2731,335000
91527-3427,225000
46091-516,225000
100366-238,125000
74234-8781,160000
86070-55,250000
82056-2337,145000
71170-203,185000
64211-1562,335000
36851-7849,450000
73338-2153,260000
70586-2346,280000
82127-13239,1500000
70383-2791,720000
97798-547,599000
4510-11066,375000
7266-8653,785000
692609-1810,480000
79470-828,360000
38648-2962,670000
23862-11283,216000
66000-1404,550000
50668-6388,170000
16761-22834,189000
80884-3237,2500000
43480-7872,215000
28568-10787,255000
1501-3372,285000
106732-2,345000
1475-2815,260000
7204-21701,625000
16829-1875,690000
6181-15715,7000000
73231-1310,107000
88374-1095,150000
9639-17213,449000
94194-247,340000
97948-602,220000
86019-808,340000
65411-17,180000
3286-6156,315000
4476-26145,235000
92133-517,260000
61391-3496,339000
23862-11278,169000
31522-8909,245000
82917-9446,130000
9932-5658,365000
1191-8892,400000
61827-1096,585000
1186-4454,215000
67117-715,3950000
53138-5277,269000
31397-4712,725000
44764-16883,640000
2603-1881,287000
19744-18690,350000
99224-84,435000
691739-1031,205000
4583-11218,255000
6166-19958,405000
36429-4543,152000
78050-3365,265000
87889-3233,125000
34722-4868,495000
37957-12599,465000
44716-4178,175000
107581-14,350000
70898-1642,145000
16814-2670,425000
3890-4251,730000
60362-51049,7000000
3010-72172,1750000
93678-4275,129000
58183-2148,1200000
97600-1102,260000
0-32359842,269000
3736-914,1375000
37494-2022,217000
97670-1050,135000
76070-1467,310000
54389-1163,1349000
89533-194,300000
32243-3127,1550000
77921-3225,450000
77414-1371,255000
107223-24,25999
28854-15526,334000
97670-1043,145000
2086-2665,400000
23474-30065,750000
65704-5002,325000
85708-1129,350000
0-32363787,380000
2703-15259,245000
53744-2382,225000
92607-117,610000
101656-46,470000
69911-708,439000
103861-125,135000
82957-5844,1400000
6788-18793,285000
31397-4681,650000
6788-18777,312000
52813-1082,200000
2508-773,850000
3393-2726,270000
1500-16583,235000
74234-8764,159000
106423-191,233000
51109-3143,650000
0-32389941,195000
18510-15537,425000
69807-1846,399000
79012-2516,445000
90469-312,210000
65784-7058,368000
52146-1339,185000
87967-6782,229000
84929-5893,550000
4993-2655,395000
63293-7317,910000
39997-2718,1625000
14072-9213,295000
39672-8560,185000
106477-106,315000
31397-4706,475000
7204-21694,700000
101812-76,168000
3044-1198,475000
93832-740,260000
3526-2886,310000
31397-4708,500000
88420-1580,190000
0-32359193,285000
8053-2204,225000
28880-2000,499000
92941-2423,1100000
95827-310,330000
94258-120,285000
16354-16041,465000
88286-550,425000
3420-7283,1670000
90478-867,1400000
56119-12238,148000
77921-3212,380000
2602-5075,369000
15186-1114,145000
69537-49883,9000000
6788-18770,315000
95739-328,186000
0-32391969,152000
74234-8651,145000
96362-13,235000
106423-196,180000
99090-1026,259000
1400-4636,370000
74234-8624,295000
4583-11241,478000
63761-662,475000
8161-22066,695000
29364-19351,499000
37996-4810,765000
87967-6812,210000
56119-12158,115000
96122-196,770000
94588-125,309000
14535-5178,329900
13159-689,230000
1442-9024,599000
29795-4191,2700000
4476-26016,410000
65704-5001,220000
56119-12212,205000
31522-9040,290000
14072-9215,215000
43480-7875,100000
1049-158746,1270000
31397-4683,950000
3010-72178,1600000
93678-4271,470000
94789-174,520000
96721-355,127000
92115-469,237000
10345-3637,470000
96362-17,665000
58814-2972,155000
93096-532,184000
11000-1156,175000
27283-11138,199000
84712-1952,575000
66891-318,1140000
86604-3133,146000
3493-17892,459000
96362-2,695000
97670-1048,170000
18513-2323,365000
49376-1209,950000
80901-2315,320000
692609-1919,395000
68766-2300,179000
93678-4254,155000
49157-16341,625000
2137-21687,2750000
60561-1165,1750000
13758-10453,219000
2602-5054,230000
84608-259,690000
100084-700,2300000
0-32368442,250000
47990-797,297000
3447-15435,380000
107321-15,2550000
92941-2411,1200000
104770-334,231000
69537-50026,1450000
0-32378446,360000
10557-1874,1500000
54400-1530,290000
11236-11573,1050000
53744-2387,850000
86293-1582,290000
31180-6367,465000
76720-266,260000
97120-685,200000
40243-6322,199000
77852-23658,171000
65784-7080,290000
26004-11855,545000
3393-2734,505000
91859-209,200000
84929-5900,135000
70919-1767,385000
28851-11821,345000
98471-86,150000
83023-6425,245000
74470-945,160000
107581-4,375000
44494-1446,108000
69537-50040,730000
82926-493,210000
43936-10941,550000
99147-57,300000
93427-426,137500
91263-443,460000
18510-15522,290000
104765-306,160000
2824-7595,425000
102957-523,525000
56119-12211,240000
33559-3484,495000
66803-655,765000
3393-2680,205000
31397-4834,650000
65936-6931,112000
56871-1634,670000
3493-17870,255000
107468-24,170000
88942-1486,730000
43996-7541,295000
26940-2975,310000
76785-3260,260000
16820-2897,210000
63484-3408,190000
1227-12827,499500
27283-11139,157000
43996-7461,222000
64048-938,450000
32877-3439,165000
97141-4563,162000
106423-197,180000
85175-1761,200000
106332-65,350000
60366-69,145000
107041-45,730000
2233-14131,650000
25542-1825,360000
26004-11818,325000
101812-79,162000
65739-8390,275000
18513-2319,320000
48689-5090,245000
28110-7604,625000
37640-4934,166500
7524-4681,450000
16761-22888,335000
68766-2298,125000
36851-7838,155000
50860-1271,288000
3010-72171,1750000
7445-1095,285000
40768-997,780000
4476-26116,305000
101120-112,560000
4476-26121,295000
13354-1071,595000
87048-2485,1050000
88252-1995,445000
22136-3360,240000
92223-1209,269000
90625-891,208000
9435-1132,250000
16744-17744,115000
6675-7299,850000
74234-8708,240000
31397-4806,370000
98965-96,346000
107221-50,550000
27590-3081,220000
92647-1005,549000
