id,link,price,title,ilan_no,yer,oda,metrekare,bina_yasi,kat,banyo
18,https://www.hurriyetemlak.com/konut-satilik/ankara-cankaya-yildizevler-emlakcidan-daire/detay/32389960,1180000,Sahibinden Aykon Sitesi'nde Vadi ve Atakule Manzaralı Daire...,6001-173,Ankara/Çankaya/Yıldızevler,5,175,8,12,2
19,https://www.hurriyetemlak.com/konut-satilik/tekirdag-ergene-cumhuriyet-emlakcidan-daire/detay/32364373,185000,Ergene ilçesinde satılık 2+1 daire 100 bin tl kredi 0 faiz ile,78349-734,Tekirdağ/Ergene/Cumhuriyet,3,100,1,0,1
20,https://www.hurriyetemlak.com/konut-satilik/balikesir-edremit-akcay-emlakcidan-daire/detay/32384035,220000,EYBEK'TEN AKÇAY ALTINKUM'DA **ÇOK ÖZEL FİYATLA** 2+1 SIFIR DAİRE,93825-3728,Balıkesir/Edremit/Akçay,3,110,0,0,1
21,https://www.hurriyetemlak.com/konut-satilik/bursa-yildirim-haciseyfettin-emlakcidan-daire/detay/32365774,113999,Bursa Yıldırım İncirli caddesi Emirsultan lisesi civarı ara kat ,106581-47,Bursa/Yıldırım/Hacıseyfettin,3,90,25,3,1
22,https://www.hurriyetemlak.com/konut-satilik/tekirdag-suleymanpasa-hurriyet-emlakcidan-daire/detay/32321338,240000,Hürriyet mah. 3+1 120m2 Baykallar Ateş sitesinde ara kat daire,103119-525,Tekirdağ/Süleymanpaşa/Hürriyet,4,140,15,3,1
23,https://www.hurriyetemlak.com/konut-satilik/istanbul-kadikoy-sahrayi-cedit-emlakcidan-daire/detay/32359102,695000,"Sahrayıcedit'te satılık 3+1, yemek ve çamaşır odalı daire",79700-228,İstanbul/Kadıköy/Sahrayı Cedit,4,120,3,8,1
24,https://www.hurriyetemlak.com/konut-satilik/adana-cukurova-beyazevler-emlakcidan-daire/detay/32359293,295000,KONAKtan Beyazevlerde Sıfır Bu Fiyata Bu Bölgede Başka Daire Yok,1500-16585,Adana/Çukurova/Beyazevler,4,130,0,3,2
25,https://www.hurriyetemlak.com/konut-satilik/ankara-cankaya-harbiye-emlakcidan-daire/detay/32368842,393000,YİĞİT'DEN BU KALİTE BU FİYATA ACİL ÇOK UYGUN ALAN KAZANIR ,28568-10799,Ankara/Çankaya/Harbiye,4,145,20,2,2
26,https://www.hurriyetemlak.com/konut-satilik/ankara-kecioren-ayvali-emlakcidan-daire/detay/32359560,159000,Ayvalıda Muhteşem Dizayn ile Oturuma Hazır 3+1 / 4+1 Seçenekleri,56586-1488,Ankara/Keçiören/Ayvalı,4,135,0,1,1
27,https://www.hurriyetemlak.com/konut-satilik/ankara-cankaya-bagcilar-emlakcidan-daire/detay/32384552,450000,FULL ŞEHİR MANZARALI SÜPER LÜKS 4+1 TERAS DAİREMİZ SİZLERLE ,96721-358,Ankara/Çankaya/Bağcılar,5,270,0,3,2
28,https://www.hurriyetemlak.com/konut-satilik/ankara-kecioren-yukseltepe-emlakcidan-daire/detay/32391174,169000,BAŞKENT GRUP'TAN K.ÖREN'DE 1.KATTA KOMBİ-ANKASTRE-DUŞAKABİNLİ!..,93678-4306,Ankara/Keçiören/Yükseltepe,4,160,0,1,1
29,https://www.hurriyetemlak.com/konut-satilik/ankara-mamak-hurel-emlakcidan-daire/detay/32385488,245000,GÜVENÇ EMLAK OFİSİNDEN HÜREL MAHALLESİ SATILIK DAİRE ,93675-326,Ankara/Mamak/Hürel,4,120,0,1,1
30,https://www.hurriyetemlak.com/konut-satilik/istanbul-kagithane-merkez-emlakcidan-daire/detay/32353219,530000,KAĞITHANE CD. ÜZERİ 3+1 115m2 ASANSÖR+JENARATÖR+DEPO 1.KAT DAİRE,41756-13535,İstanbul/Kağıthane/Merkez,4,115,1,2,1
31,https://www.hurriyetemlak.com/konut-satilik/ankara-cankaya-ilkbahar-emlakcidan-daire/detay/32374721,455000,SİNPAŞ ALTINORAN DA**FIRSAT**2+1 AYRI MUTFAKLI BALKONLU SATILIK,30001-5025,Ankara/Çankaya/İlkbahar,3,131,4,8,2
32,https://www.hurriyetemlak.com/konut-satilik/edirne-merkez-barutluk-emlakcidan-daire/detay/32372819,92000,FIRSAT !! TOKİDE 2+1 ARA KAT SATILIK DAİRE TRAKPA EMLAK TAN,74269-211,Edirne/Merkez/Barutluk,3,78,6,2,1
33,https://www.hurriyetemlak.com/konut-satilik/ankara-etimesgut-baglica-emlakcidan-daire/detay/32359587,399000,"HAFTANIN FIRSAT DAİRESİ 4+1 ARAKATTA FULL YAPILI 399,000TL",106426-52,Ankara/Etimesgut/Bağlıca,5,178,0,8,2
34,https://www.hurriyetemlak.com/konut-satilik/ankara-kecioren-etlik-emlakcidan-daire/detay/32220318,339000,BAŞKENT'TEN OTURUMA HAZIR ARA KATTA FULL+FULL YAPILI 3+1 DAİRE,82476-1133,Ankara/Keçiören/Etlik,4,160,2,4,2
35,https://www.hurriyetemlak.com/konut-satilik/balikesir-edremit-cennetayagi-emlakcidan-daire/detay/32371511,850000,EDREMİT VİZYON DÖRT MEVSİMDE**ARSA SAHİBİN'DEN LÜKS DAİRELER**,97600-1110,Balıkesir/Edremit/Cennetayağı,5,225,0,0,2
36,https://www.hurriyetemlak.com/konut-satilik/balikesir-edremit-akcay-emlakcidan-daire/detay/32378685,232000,AKÇAY-ALTINKUM'DA**KELEPİRHAVUZLU DUBLEKS DAİRE**,93825-3718,Balıkesir/Edremit/Akçay,3,130,1,3,2
37,https://www.hurriyetemlak.com/konut-satilik/balikesir-edremit-cennetayagi-emlakcidan-daire/detay/32371947,750000,EDREMİT VİZYON DÖRT MEVSİMDE ARSA SAHİBİN'DEN ULTRALÜKS DAİRELER,97600-1111,Balıkesir/Edremit/Cennetayağı,4,202,0,0,2
38,https://www.hurriyetemlak.com/konut-satilik/mugla-bodrum-yalikavak-emlakcidan-daire/detay/32371575,460000,BODRUM YALIKAVAK GERİŞ'TE SATILIK DAİRE,79520-106,Muğla/Bodrum/Yalıkavak,3,90,8,1,1
39,https://www.hurriyetemlak.com/konut-satilik/balikesir-edremit-akcay-emlakcidan-daire/detay/31665353,215000,AKTİF TEN AKÇAY ALTINKUM DA SATILIK**OTOPARKLI**KELEPİR 3+1DAİRE,84036-5119,Balıkesir/Edremit/Akçay,4,135,0,1,2
40,https://www.hurriyetemlak.com/konut-satilik/istanbul-sariyer-maslak-emlakcidan-daire/detay/32360990,7000000,MASLAK SPINE TOWERDA SATILIK 4+1 LÜX DAİRE,33600-48736,İstanbul/Sarıyer/Maslak,5,300,4,0,4
41,https://www.hurriyetemlak.com/konut-satilik/antalya-kepez-mehmet-akif-ersoy-emlakcidan-daire/detay/32371805,199000,ACİL ACİL TAHTAKELE KARŞISI M.AKİF'te 1.kat 3+1 140m2 199.000 ,96922-225,Antalya/Kepez/Mehmet Akif Ersoy,4,140,0,1,1
42,https://www.hurriyetemlak.com/konut-satilik/samsun-ilkadim-kisla-emlakcidan-daire/detay/32365249,220000,SATILIK DAİRE 3+1 KIŞLA MAHALLESİNDE FULL YAPILI MASRAFSIZ ,61986-962,Samsun/İlkadım/Kışla,4,155,3,3,2
43,https://www.hurriyetemlak.com/konut-satilik/istanbul-pendik-camcesme-sahibinden-daire/detay/32370095,350000,PENDİK KEMALPAŞA CADDESİNDE SATILIK 2+1 DAİRE,0-32370095,İstanbul/Pendik/Çamçeşme,3,94,0,1,2
44,https://www.hurriyetemlak.com/konut-satilik/corum-merkez-ulukavak-emlakcidan-bina/detay/32385264,130000,CENGİZ YAPI- KEVSER CAMİ CİVARI 2+1 ACİL SATILIK SIFIR DAİRE,104765-297,Çorum/Merkez/Ulukavak,3,100,0,3,1
45,https://www.hurriyetemlak.com/konut-satilik/ankara-etimesgut-eryaman-emlakcidan-bina/detay/32378729,560000,ERYAMAN VADİTEPE BAŞPINAR 4+1 +1 HOBİ ODASI SATILIK DAİRELER,82414-8,Ankara/Etimesgut/Eryaman,5,180,0,4,2
46,https://www.hurriyetemlak.com/konut-satilik/istanbul-kadikoy-19-mayis-emlakcidan-daire/detay/32387266,598000,AKTÜEL'DEN TEK YETKİLİ ERENKÖY'DE GENİŞ 2 ODA SALON BALKONLU ,7652-179971,İstanbul/Kadıköy/19 Mayıs,3,90,1,6,1
47,https://www.hurriyetemlak.com/konut-satilik/ankara-cankaya-mutlukent-emlakcidan-daire/detay/32371291,715000,ANGORA EVLERİNDE MUHTEŞEM MANZARALI GÜNEY CEPHE 3+1 DAİRE ,46377-5274,Ankara/Çankaya/Mutlukent,4,170,17,11,2
48,https://www.hurriyetemlak.com/konut-satilik/ankara-cankaya-birlik-emlakcidan-daire/detay/32367684,950000,BULUT GAYRİMENKUL DEN ZİRVEKENT 1.ETAP FULL YAPILI ,81983-668,Ankara/Çankaya/Birlik,4,179,14,8,2
49,https://www.hurriyetemlak.com/konut-satilik/ankara-cankaya-cigdem-emlakcidan-daire/detay/32356684,575000,Çukurambar'dan Çiğdem'de Cadde Üzeri Manzaralı Yapılı Arakat ,91324-829,Ankara/Çankaya/Çiğdem,4,170,16,3,2
50,https://www.hurriyetemlak.com/konut-satilik/istanbul-maltepe-cevizli-sahibinden-daire/detay/31797931,900000,Dap Dalga Kule Maltepe Deniz Manzaralı 2+1 Satılık Daire,0-31797931,İstanbul/Maltepe/Cevizli,3,105,1,19,2
51,https://www.hurriyetemlak.com/konut-satilik/corum-merkez-ulukavak-emlakcidan-bina/detay/32384201,140000,CENGİZYAPI-TOPRAK SANAYİ OKULU ÇEVRESİNDE SATILIK 3+1 DAİRE,104765-296,Çorum/Merkez/Ulukavak,4,125,4,1,1
52,https://www.hurriyetemlak.com/konut-satilik/istanbul-sisli-ferikoy-emlakcidan-daire/detay/32377269,465000,"ARAR'DAN FIRSAT DAİRE!!!METROYA 5 DAKİKA,TEMİZ,KULLANIŞLI,1.KAT.",8700-818,İstanbul/Şişli/Feriköy,3,100,35,1,1
53,https://www.hurriyetemlak.com/konut-satilik/gaziantep-sehitkamil-yukaribeylerbeyi-emlakcidan-daire/detay/32144812,309000,BEYLERBEYİ STADYUM KARŞISI BİRİNCİ SINIF 3+1 DAİRE 'KW GARAJ',83478-505,Gaziantep/Şehitkamil/Yukarıbeylerbeyi,4,160,0,7,2
54,https://www.hurriyetemlak.com/konut-satilik/aydin-kusadasi-davutlar-emlakcidan-mustakil-ev/detay/31759777,830000,DENİZE SIFIR OLAN KÖYÜM SİTESİNDE MASRAFSIZ MÜSTAKİL EV,28110-7369,Aydın/Kuşadası/Davutlar,6,160,30,0,2
55,https://www.hurriyetemlak.com/konut-satilik/ankara-kecioren-yukseltepe-emlakcidan-daire/detay/32329247,235000,YÜKSELTEPEDE CADDE KENARI MERKEZİ KONUMDA ACİL SATILIK DAİRE,15878-10712,Ankara/Keçiören/Yükseltepe,4,130,2,1,1
56,https://www.hurriyetemlak.com/konut-satilik/istanbul-maltepe-altintepe-emlakcidan-daire/detay/32313472,360000,"ADA'DAN ALTINTEPEDE SİTE İÇİNDE, MERKEZİ KONUMDA SIFIR 2.KAT 2+1",6060-35205,İstanbul/Maltepe/Altıntepe,3,100,0,2,1
57,https://www.hurriyetemlak.com/konut-satilik/balikesir-edremit-akcay-emlakcidan-daire/detay/32271684,210000,ZÜMRÜT DEN AKÇAY DA ACİL SATILIK 2+1 DAİRE**AYRI MUTFAK**LÜKS**,99090-879,Balıkesir/Edremit/Akçay,3,100,0,1,1
58,https://www.hurriyetemlak.com/konut-satilik/ankara-etimesgut-baglica-emlakcidan-daire/detay/30517169,529000, Bağlıca Satılık Ara Katta Ultra Lüks Yapılı Daire IRMAK GYD,28880-1722,Ankara/Etimesgut/Bağlıca,5,180,1,4,2
59,https://www.hurriyetemlak.com/konut-satilik/balikesir-edremit-akcay-emlakcidan-daire/detay/32340492,182000,AKTİFTEN AKÇAY DA SATILIK BANKASIZ VADELİ YüZmE HaVuzLu 1+1DAİRE,84036-5448,Balıkesir/Edremit/Akçay,2,60,0,1,1
60,https://www.hurriyetemlak.com/konut-satilik/ankara-kecioren-etlik-emlakcidan-daire/detay/32348126,275000,OTURUMA HAZIR İSKANLI 3 BLOKLU MUHTEŞEM SİTE İÇİNDE LÜKS DAİRE..,26004-11786,Ankara/Keçiören/Etlik,4,175,2,3,2
61,https://www.hurriyetemlak.com/konut-satilik/ankara-cankaya-aydinlar-emlakcidan-daire/detay/32271588,247000,BORSEM İLKER'DEN SOKULLU CAD. ÜZERİ 1.400 TL KİRACILI LÜKS YAPI,2602-4983,Ankara/Çankaya/Aydınlar,4,120,18,2,1
62,https://www.hurriyetemlak.com/konut-satilik/mugla-bodrum-gumusluk-emlakcidan-mustakil-ev/detay/32137309,899000,"*Fiyatı Düştü* Gümüşlük'te havuzlu sitede, 4+1 Villa* Fırsattır*",6802-8788,Muğla/Bodrum/Gümüşlük,5,180,5,0,3
63,https://www.hurriyetemlak.com/konut-satilik/ankara-yenimahalle-serhat-emlakcidan-daire/detay/32396257,350000,ESKİDJİ GAYRİMENKUL'DEN SERHAT MAHALLESİNDE SATILIK KUPON DAİRE,70746-1953,Ankara/Yenimahalle/Serhat,4,120,15,2,1
64,https://www.hurriyetemlak.com/konut-satilik/ankara-cankaya-guzeltepe-emlakcidan-daire/detay/32322169,1195000,ANKARA ÇANKAYA PARKVADİ EVLERİ A BLOK 4+1 MANZARALI SİTE DAİRESİ,4537-6946,Ankara/Çankaya/Güzeltepe,5,180,6,0,2
65,https://www.hurriyetemlak.com/konut-satilik/ankara-kecioren-ayvali-emlakcidan-bina/detay/32348944,265000,Ayvalı'da Antares AVM Yakını Seher Sokakda Kata Ful Yapılı Daire,82331-582,Ankara/Keçiören/Ayvalı,4,155,10,1,1
66,https://www.hurriyetemlak.com/konut-satilik/istanbul-kadikoy-goztepe-emlakcidan-daire/detay/31801313,1545000,TURYAP'TAN ÇİFTEHAVUZLARDA SİTEDE ÖNÜ AÇIK KÖŞE DAİRE,1652-3218,İstanbul/Kadıköy/Göztepe,4,165,0,10,2
67,https://www.hurriyetemlak.com/konut-satilik/istanbul-kadikoy-suadiye-emlakcidan-daire/detay/32350852,820000,EMİR'DEN MARKS&SPENCER'A ÇOK YAKIN ULTRA LÜX DEKORLU 145 M2 3+1,1100-9520,İstanbul/Kadıköy/Suadiye,4,145,25,1,2
68,https://www.hurriyetemlak.com/konut-satilik/ankara-yenimahalle-yukari-yahyalar-emlakcidan-daire/detay/32219249,475000,KALİTELİ YAŞAM BEKLENTİLERİN ÜSTÜ BİR SİTE FULL MANZARALI DAİRE,89358-479,Ankara/Yenimahalle/Yukarı Yahyalar,5,190,1,14,2
69,https://www.hurriyetemlak.com/konut-satilik/izmir-guzelbahce-maltepe-emlakcidan-daire/detay/25774155,1250000,SAYKAPPARK'TA EVİNİZ HAZIR...YILSONU FIRSATLARI BAŞLADI!,41016-145,İzmir/Güzelbahçe/Maltepe,4,147,0,3,2
70,https://www.hurriyetemlak.com/konut-satilik/ankara-cankaya-ovecler-emlakcidan-daire/detay/31925438,295000,TARAÇA'DAN 3+1 SÜPERLÜX PARK MANZARALI,5449-2413,Ankara/Çankaya/Öveçler,4,120,20,2,1
71,https://www.hurriyetemlak.com/konut-satilik/balikesir-edremit-akcay-emlakcidan-daire/detay/32385583,183000,HAKAN'DAN AKÇAY ALTINKUM DA**SİZE UYGUN EV DAİMA VAR 2+1 DAİRE**,97600-1133,Balıkesir/Edremit/Akçay,3,110,4,2,1
72,https://www.hurriyetemlak.com/konut-satilik/antalya-serik-kadriye-emlakcidan-villa/detay/28880324,425000,4+1 210 m2 TRİPLEX VİLLA,94258-8,Antalya/Serik/Kadriye,5,240,15,0,2
73,https://www.hurriyetemlak.com/konut-satilik/ankara-altindag-karapurcek-emlakcidan-daire/detay/32360657,76500,HİLALDEN KARAPÜRÇEKTE 3+1 BAHÇE KAT MERKEZDE ETRAFI AÇIK DAİRE,62044-2108,Ankara/Altındağ/Karapürçek,4,100,8,0,1
74,https://www.hurriyetemlak.com/konut-satilik/ankara-yenimahalle-ergenekon-emlakcidan-daire/detay/32374759,129000,ANTERES YAKINI FULL+FULL YAPILI DAİREMİZ SİZLERLE ALPER FARKIYLA,96721-353,Ankara/Yenimahalle/Ergenekon,3,105,4,0,1
75,https://www.hurriyetemlak.com/konut-satilik/izmir-guzelbahce-maltepe-emlakcidan-daire/detay/25770383,900000,SAYKAPPARK'TA YILSONU FIRSATLARI BAŞLADI!!! DAVETLİSİNİZ...,41016-141,İzmir/Güzelbahçe/Maltepe,4,106,0,2,1
76,https://www.hurriyetemlak.com/konut-satilik/ankara-pursaklar-ayyildiz-emlakcidan-daire/detay/31426964,390000,PURSAKLAR'DA FULL+FULL 8. KATTA SATILIK DAİRE BENT EMLAK'TAN,2703-14740,Ankara/Pursaklar/Ayyıldız,5,190,0,8,2
77,https://www.hurriyetemlak.com/konut-satilik/balikesir-edremit-akcay-emlakcidan-daire/detay/32247244,235000,HAKAN'DAN AKÇAY ALTINKUM DA 2+1 ARAKAT MERKEZİ ISITMA YENİ DAİRE,97600-907,Balıkesir/Edremit/Akçay,3,95,0,0,1
78,https://www.hurriyetemlak.com/konut-satilik/istanbul-maltepe-idealtepe-emlakcidan-daire/detay/32261912,330000,ARTI'dan İdealtepe'de Korupark'a Çok Yakın Özel Bahçeli 2+1,6166-19836,İstanbul/Maltepe/İdealtepe,3,90,0,0,1
79,https://www.hurriyetemlak.com/konut-satilik/ankara-cankaya-cukurambar-emlakcidan-daire/detay/26396030,255000,AYKON SUİTES GÜVENLİKLİ ULTRA LÜKS 1+0 REZİDANS ODTÜ YANI ,3861-64,Ankara/Çankaya/Çukurambar,1,40,0,9,1
80,https://www.hurriyetemlak.com/konut-satilik/ankara-pursaklar-yunus-emre-emlakcidan-daire/detay/32341546,135000,PURSAKLAR UFUK KILIÇ EMLAKDAN SATILIK 2+1 YÜKSEK GİRİŞ DAİRE,95179-488,Ankara/Pursaklar/Yunus Emre,3,110,4,0,1
81,https://www.hurriyetemlak.com/konut-satilik/balikesir-edremit-altinoluk-emlakcidan-daire/detay/32209563,560000,PEHLİVAN EMLAK'TAN ALTINOLUKTA SATILIK SÜPER LÜKS 3+1 DAİRELER,79470-783,Balıkesir/Edremit/Altınoluk,4,125,0,1,1
82,https://www.hurriyetemlak.com/konut-satilik/izmir-cesme-alacati-emlakcidan-villa/detay/32044751,2650000,ÇEŞME ALAÇATI DA SATILIK EŞSİZ LOKASYON DA VİLLA,74495-2570,İzmir/Çeşme/Alaçatı,5,300,4,0,3
83,https://www.hurriyetemlak.com/konut-satilik/ankara-kecioren-etlik-emlakcidan-daire/detay/32253221,219000,BAŞKENTTEN CADDEYE ÇOK YAKIN İSKANLI ÇOK ACİL SATILIK 3+1,82476-1137,Ankara/Keçiören/Etlik,4,130,0,5,1
84,https://www.hurriyetemlak.com/konut-satilik/istanbul-esenler-mimar-sinan-sahibinden-daire/detay/32236167,330000,"Esenlerde temiz, önü açık metroya çok yakın sahibinden daire",0-32236167,İstanbul/Esenler/Mimar Sinan,3,90,30,0,1
85,https://www.hurriyetemlak.com/konut-satilik/ankara-etimesgut-baglica-emlakcidan-daire/detay/32057701,515000,Bağlıca MERKEZDE 4+1 188 m2 Satılık Daire.. IRMAK GYD,28880-1958,Ankara/Etimesgut/Bağlıca,5,188,0,7,2
86,https://www.hurriyetemlak.com/konut-satilik/ankara-etimesgut-tunahan-emlakcidan-daire/detay/31511535,160000,REYHAN DAN TUNAHAN CAMLI KLİMA DA 3+1 ASANSÖRLÜ 3+1 SATILIK DAİR,92160-472,Ankara/Etimesgut/Tunahan,4,96,13,3,1
87,https://www.hurriyetemlak.com/konut-satilik/aydin-kusadasi-davutlar-emlakcidan-daire/detay/32141961,155000,KUŞADASI DAVUTLAR TAM MERKEZDE SATILIK SIFIR 2+1 DAİRE,84929-5441,Aydın/Kuşadası/Davutlar,3,85,0,0,1
88,https://www.hurriyetemlak.com/konut-satilik/ankara-cankaya-hilal-emlakcidan-daire/detay/32283921,415000, HİLAL'DE TURAN GÜNEŞ BLV. YAKIN KATTA 3+1 KOMBİLİ SATILIK DAİRE,2498-637,Ankara/Çankaya/Hilal,4,140,14,1,1
89,https://www.hurriyetemlak.com/konut-satilik/ankara-etimesgut-baglica-emlakcidan-villa/detay/32359728,455000,BU HAFTAYA ÖZEL TAM BAGIMSIZ YAPILI KÖŞE VİLLA 5+1 BİLGİ EMLAK,106426-53,Ankara/Etimesgut/Bağlıca,6,426,0,0,2
90,https://www.hurriyetemlak.com/konut-satilik/balikesir-edremit-akcay-emlakcidan-daire/detay/32352172,190000,AKÇAY CEMRE EMLAKTAN SATILIK SIFIR 1+1 LÜX DAİRE,77789-1230,Balıkesir/Edremit/Akçay,2,80,0,0,1
91,https://www.hurriyetemlak.com/konut-satilik/istanbul-sancaktepe-fatih-emlakcidan-daire/detay/30939115,230000,Resim İstanbul Sancaktepe'de 1+1 Satılık daire,79700-143,İstanbul/Sancaktepe/Fatih,2,70,1,5,1
92,https://www.hurriyetemlak.com/konut-satilik/balikesir-edremit-altinoluk-emlakcidan-villa/detay/30594045,650000,ALTINOLUK MERKEZDE HAVUZLU DENİZ MANZARALI MUHTEŞEM 4+2 VİLLA ,77162-2113,Balıkesir/Edremit/Altınoluk,6,200,0,0,4
93,https://www.hurriyetemlak.com/konut-satilik/ankara-cankaya-keklik-pinari-emlakcidan-daire/detay/32309516,359000,DOĞAN DAN 3+1 SİTE İÇERİSİNDE PANORAMİK ANKARA MANZARALI FUL+FUL,16761-22781,Ankara/Çankaya/Keklik Pınarı,4,130,15,6,1
94,https://www.hurriyetemlak.com/konut-satilik/istanbul-bakirkoy-yesilkoy-emlakcidan-daire/detay/31567832,3400000,YEŞİLKÖY'DE ÇOK İYİ KONUMDA 168 M2 NET 3+1 KATTA TEK DAİRE,692053-136,İstanbul/Bakırköy/Yeşilköy,4,204,9,1,2
95,https://www.hurriyetemlak.com/konut-satilik/mugla-bodrum-konacik-emlakcidan-daire/detay/10757543,470000,"ESKIDJI'DEN KONACIK'TA, 2+1, 90m2., YENİ DAİRE",6802-4851,Muğla/Bodrum/Konacık,3,90,2,1,1
96,https://www.hurriyetemlak.com/konut-satilik/ankara-cankaya-yasamkent-emlakcidan-daire/detay/31833011,365000,ACİL!! KELEPİR ADDRESS CENTER'DEN YAŞAMKENT GİRİŞİNDE 2+1 DAİRE,6135-4480,Ankara/Çankaya/Yaşamkent,3,85,2,8,1
97,https://www.hurriyetemlak.com/konut-satilik/balikesir-edremit-akcay-emlakcidan-daire/detay/32358195,319000,ZÜMRÜT DEN AKÇAY DA SATILIK 3+1**DENİZE 300MT**ULTRA LÜKS DAİRE*,99090-1006,Balıkesir/Edremit/Akçay,4,130,0,1,1
