id	link	price	title	ilan_no	yer	oda	metrekare	bina_yasi	kat	banyo	label
120	https://www.hurriyetemlak.com/konut-satilik/izmir-cigli-kucuk-cigli-emlakcidan-daire/detay/32349553	233000	ACILL...ÇİĞLİ DAĞ MAHALLESİNDE 3+1 GENİŞ DAİRE	51977-1828	İzmir/Çiğli/Küçük Çiğli	4	125	7	4	2	1
127	https://www.hurriyetemlak.com/konut-satilik/balikesir-edremit-altinoluk-emlakcidan-daire/detay/32372159	435000	Altınoluk Merkezde Deniz Manzaralı Eşyalı Satılık Kat Dubleksi	51109-3140	Balıkesir/Edremit/Altınoluk	4	140	21	0	2	2
135	https://www.hurriyetemlak.com/konut-satilik/ankara-etimesgut-baglica-sahibinden-daire/detay/24230496	680000	SAHİBİNDEN ANKARA BAĞLICA'DA SATILIK 4+1 SÜPER LÜKS DAİRE	0-24230496	Ankara/Etimesgut/Bağlıca	5	160	0	9	2	3
142	https://www.hurriyetemlak.com/konut-satilik/istanbul-maltepe-altintepe-emlakcidan-daire/detay/32322988	800000	YATIRIM GAYRİMENKUL ALTINTEPE'DE METROYA YAKIN,LÜKS 4+2 DUBLEKS!	5121-3237	İstanbul/Maltepe/Altıntepe	6	230	2	4	2	4
148	https://www.hurriyetemlak.com/konut-satilik/ankara-etimesgut-baglica-emlakcidan-daire/detay/30517974	525000	Bağlıca Satılık, 4+1 190m2 K.Otoparklı Full Yapılı.. IRMAK GYD	28880-1725	Ankara/Etimesgut/Bağlıca	5	180	0	2	2	3
149	https://www.hurriyetemlak.com/konut-satilik/istanbul-eyup-gokturk-merkez-emlakcidan-daire/detay/32061667	765000	Göktürk Turyap'tan 40 İZ ELİTE FLATS Sitesi 2+1 Satılık Daire	1518-7289	İstanbul/Eyüp/Göktürk Merkez	3	141	3	3	2	4
168	https://www.hurriyetemlak.com/konut-satilik/bursa-nilufer-cumhuriyet-emlakcidan-daire/detay/32194274	384000	ELFİ DEN CUMHURİYET MAHALLESİNDE SATILIK 4+1 FERAH-GENİŞ DAİRE	49157-15904	Bursa/Nilüfer/Cumhuriyet	5	200	19	5	3	2
171	https://www.hurriyetemlak.com/konut-satilik/istanbul-pendik-yenisehir-emlakcidan-daire/detay/29166757	418000	Pendik Yenişehir 2+1 Satılık Daireler OptimumGardens'ta	32154-201	İstanbul/Pendik/Yenişehir	3	115	0	1	2	2
190	https://www.hurriyetemlak.com/konut-satilik/balikesir-edremit-altinoluk-emlakcidan-daire/detay/32297209	525000	Altınoluk Merkezde Denize Yakın Satılık 4+1 Lüks Dubleks (Özinal	51109-3089	Balıkesir/Edremit/Altınoluk	5	180	4	0	4	3
191	https://www.hurriyetemlak.com/konut-satilik/istanbul-kadikoy-goztepe-emlakcidan-daire/detay/32350485	820000	EMİR'DEN F I R S A T BAĞDATA YAKIN ULTRA LÜX BALKONLU 130NET 3+1	1100-9519	İstanbul/Kadıköy/Göztepe	4	150	20	3	2	4
194	https://www.hurriyetemlak.com/konut-satilik/balikesir-edremit-altinoluk-emlakcidan-daire/detay/32297455	240000	Altınoluk Köyünde Muhteşem Manzaralı Satılık 2+1 Lüks Daire	51109-3091	Balıkesir/Edremit/Altınoluk	3	70	0	2	1	1
197	https://www.hurriyetemlak.com/konut-satilik/ankara-etimesgut-baglica-emlakcidan-daire/detay/32083354	550000	Bağlıca 4+1 180m2 Katta Satılık Daire.. IRMAK GYD	28880-1959	Ankara/Etimesgut/Bağlıca	5	180	0	4	2	3
216	https://www.hurriyetemlak.com/konut-satilik/mersinicel-mezitli-akdeniz-emlakcidan-daire/detay/32352787	220000	Mezitlide 3+1 Gkb Giyinme Odalı Çift Banyolu Ultra Lüks Satılık 	19744-18688	Mersin(İçel)/Mezitli/Akdeniz	4	160	0	2	2	1
217	https://www.hurriyetemlak.com/konut-satilik/mugla-bodrum-gundogan-emlakcidan-yazlik/detay/30107246	810000	BODRUM GÜNDOĞAN MERKEZ'de My Home'dan SATILIK DAİRE	51505-285	Muğla/Bodrum/Gündoğan	3	82	12	0	1	4
220	https://www.hurriyetemlak.com/konut-satilik/mersinicel-mezitli-merkez-sahibinden-daire/detay/32016682	660000	MERSİN VİTA COURT GOLD SATILIK SIFIR DAİRE	0-32016682	Mersin(İçel)/Mezitli/Merkez	5	220	0	4	2	3
229	https://www.hurriyetemlak.com/konut-satilik/ankara-kecioren-etlik-emlakcidan-daire/detay/32347524	259000	ÜNSALLAR'DAN ŞOK FİYATA SİTE İÇİNDE ÇOK ÇOK ACİL KATTA 3+1 DAİRE	26004-11781	Ankara/Keçiören/Etlik	4	195	0	1	2	1
233	https://www.hurriyetemlak.com/konut-satilik/ankara-cankaya-umit-emlakcidan-daire/detay/32314953	695000	ÜMİTKÖY TEONA DA 2+1 SATILIK DAİRE	4744-7453	Ankara/Çankaya/Ümit	3	225	2	1	2	3
240	https://www.hurriyetemlak.com/konut-satilik/mugla-bodrum-gundogan-emlakcidan-villa/detay/32268464	1650000	BODRUM GÜNDOĞAN MERKEZ'de SİTE İÇİ TAM MÜSTAKİL VİLLA	51505-303	Muğla/Bodrum/Gündoğan	4	182	12	0	2	8
245	https://www.hurriyetemlak.com/konut-satilik/istanbul-besiktas-ortakoy-emlakcidan-daire/detay/32088431	3600000	Fırsat Satılık Mediko 1 185m2 3+1 Ultra lüks Daire	2608-1969	İstanbul/Beşiktaş/Ortaköy	4	185	26	3	2	10
250	https://www.hurriyetemlak.com/konut-satilik/istanbul-sariyer-zekeriyakoy-emlakcidan-daire/detay/32289642	1340000	Sarıyer Zekeriyaköy'de Kendi Ait 300m2 Bahçeli 4+1 Bahçe Dubleks	10000-14525	İstanbul/Sarıyer/Zekeriyaköy	5	262	9	0	3	7
257	https://www.hurriyetemlak.com/konut-satilik/izmir-guzelbahce-maltepe-emlakcidan-villa/detay/25733122	1400000	SAYKAPPARK'TA EVİNİZ HAZIR...FIRSATLAR DEVAM EDİYOR!	41016-139	İzmir/Güzelbahçe/Maltepe	5	230	0	0	3	7
261	https://www.hurriyetemlak.com/konut-satilik/mersinicel-mezitli-yeni-emlakcidan-daire/detay/32028447	419000	ALYANS'tan YENİ MAH.'DE MÜTHİŞ İŞÇİLİK EXTRALI HAVUZLU ELİT SİTE	5225-12545	Mersin(İçel)/Mezitli/Yeni	5	200	1	8	2	2
270	https://www.hurriyetemlak.com/konut-satilik/istanbul-umraniye-armagan-evler-emlakcidan-daire/detay/31034352	490000	SOYAK YENİŞEHİR YANINDA ATAŞEHİR FİNANS MERKEZİ CEPHE 3+1 DUBLEX	13402-96135	İstanbul/Ümraniye/Armağan Evler	4	150	2	9	3	2
273	https://www.hurriyetemlak.com/konut-satilik/ankara-cankaya-konutkent-emlakcidan-daire/detay/31426732	275000	KONUTKENT OYAK-1 SİTESİ'NDE 85M2. FUL YAPILI MANZARALI 2+1 DAİRE	41876-3554	Ankara/Çankaya/Konutkent	3	97	20	4	1	1
277	https://www.hurriyetemlak.com/konut-satilik/istanbul-sisli-tesvikiye-emlakcidan-daire/detay/32248069	1250000	ASSA - NİŞANTAŞI'NDA YEŞİLLİKLER İÇERİSİNDE,KEYİFLİ 3+1 SATILIK	4241-2029	İstanbul/Şişli/Teşvikiye	4	150	40	0	2	6
288	https://www.hurriyetemlak.com/konut-satilik/ankara-cankaya-ata-emlakcidan-daire/detay/32206791	370000	MODERN TASARIM - ATA MAH.- SIFIR - SÜPER LÜX -KAÇIRILMAZ	2322-896	Ankara/Çankaya/Ata	4	135	10	1	1	2
291	https://www.hurriyetemlak.com/konut-satilik/istanbul-kadikoy-caddebostan-emlakcidan-daire/detay/32351666	750000	EMİR'DEN CADDEBOSTAN SAHİLDE FIRSAT SIFIR BALKONLU ARA KAT 2+1	1100-9521	İstanbul/Kadıköy/Caddebostan	3	90	0	2	1	4
299	https://www.hurriyetemlak.com/konut-satilik/ankara-cankaya-ilkadim-emlakcidan-daire/detay/32382085	425000	BAŞAK'TAN VADİ YAKINI 3+1 KATTA FUL YAPILI YENİ 135 M2 ÖN 	53453-1677	Ankara/Çankaya/İlkadım	4	135	0	1	1	2
300	https://www.hurriyetemlak.com/konut-satilik/samsun-atakum-mimarsinan-emlakcidan-daire/detay/31998938	180000	SÖYLER EMLAK OFİSİNDEN SATILIK 3+1 DAİRE	52813-1058	Samsun/Atakum/Mimarsinan	4	120	15	2	1	1
327	https://www.hurriyetemlak.com/konut-satilik/istanbul-besiktas-akat-emlakcidan-daire/detay/31972989	6500000	ETİLER ALKENT SİTESİNDE 3+1 VE 1+1 BİRLEŞMİŞ BÜYÜK TİP DAİRE	1757-2141	İstanbul/Beşiktaş/Akat	7	275	28	1	2	10
339	https://www.hurriyetemlak.com/konut-satilik/istanbul-kadikoy-suadiye-emlakcidan-daire/detay/32352568	1250000	EMİR'DEN SUADİYE SAHİLDE BALKONLU EBEVEYNLİ KELEPİR FİYATLI LÜKS	1100-9522	İstanbul/Kadıköy/Suadiye	4	140	2	3	2	6
346	https://www.hurriyetemlak.com/konut-satilik/ankara-cankaya-sehit-cevdet-ozdemir-emlakcidan-daire/detay/31487981	146000	GÖRAL EMLAK TAN SOKULLU CAD.ÜZERİ 2+1 BAHÇE ÇIKIŞLI FULL YAPILI 	3286-5968	Ankara/Çankaya/Şehit Cevdet Özdemir	3	100	25	0	1	1
348	https://www.hurriyetemlak.com/konut-satilik/balikesir-edremit-altinoluk-emlakcidan-daire/detay/32356482	260000	Altınoluk Merkez Bent Yolunda Satılık 2+1 Daire (Özinal'dan)	51109-3123	Balıkesir/Edremit/Altınoluk	3	85	0	2	1	1
350	https://www.hurriyetemlak.com/konut-satilik/ankara-kecioren-asagi-eglence-emlakcidan-daire/detay/32266026	249000	AŞAĞI EĞLENCE GÖBEĞE YAKIN EŞYALARIYLA BİRLİKTE 3+1 120m2 DAİRE.	31522-8716	Ankara/Keçiören/Aşağı Eğlence	4	120	23	3	1	1
352	https://www.hurriyetemlak.com/konut-satilik/ankara-pursaklar-merkez-emlakcidan-daire/detay/32288714	137000	ERTEKİN EMLAK'TAN MERKEZ MAH. 5 YOL YAKINI 3+1 ARA KAT DAİRE	2545-4043	Ankara/Pursaklar/Merkez	4	115	10	2	1	1
355	https://www.hurriyetemlak.com/konut-satilik/istanbul-sariyer-maslak-emlakcidan-residence/detay/32357361	2690000	 2.690. 000 TL maslak mashattan da satılık 4+1 daire	10000-14562	İstanbul/Sarıyer/Maslak	5	255	8	0	2	10
360	https://www.hurriyetemlak.com/konut-satilik/izmir-guzelbahce-yali-emlakcidan-daire/detay/31194727	1350000	GÜZELBAHÇE, YUNUSOĞLU ,NEFES DENİZ DE SATILIK LÜX DAİRELE	21671-4584	İzmir/Güzelbahçe/Yalı	4	150	0	1	2	7
363	https://www.hurriyetemlak.com/konut-satilik/istanbul-bakirkoy-senlikkoy-emlakcidan-daire/detay/11473827	3500000	FİKRET GÜL EMLAKTAN GÜNYÜZÜ SOKAKTA LÜKS ÇATI KATI	3552-726	İstanbul/Bakırköy/Şenlikköy	4	170	3	0	2	10
383	https://www.hurriyetemlak.com/konut-satilik/istanbul-kartal-ugurmumcu-sahibinden-daire/detay/32082496	340000	KARTAL UĞURMUMCU DA SAHİBİNDEN SATILIK FIRSAT DAİRE	0-32082496	İstanbul/Kartal/Uğurmumcu	4	160	18	2	2	2
398	https://www.hurriyetemlak.com/konut-satilik/ankara-cankaya-kirkkonaklar-emlakcidan-daire/detay/30822074	335000	ANKARA ÇANKAYA KIRKKONAKLAR 5+1 TERASLI ASANSÖRLÜ DUBLEX DAİRE	4537-6396	Ankara/Çankaya/Kırkkonaklar	6	285	11	3	2	2
414	https://www.hurriyetemlak.com/konut-satilik/corum-merkez-gulabibey-emlakcidan-daire/detay/32163686	120000	CENGİZYAPI-SSK CİVARI ARA KATTA SATILIK 2+1 DAİRE	104765-147	Çorum/Merkez/Gülabibey	3	100	14	2	1	1
419	https://www.hurriyetemlak.com/konut-satilik/istanbul-umraniye-namik-kemal-sahibinden-daire/detay/32163110	700000	ÜMRANİYE ÇARŞIDA SAHİBİNDEN SATILIK DUBLEKS DAİRE	0-32163110	İstanbul/Ümraniye/Namık Kemal	5	180	8	5	3	4
425	https://www.hurriyetemlak.com/konut-satilik/ankara-cankaya-oran-sahibinden-daire/detay/9487806	850000	Sahibinden-Çankaya/Yeni Oran Park Manzara Evleri 350m2 tripleks	0-9487806	Ankara/Çankaya/Oran	6	350	12	13	4	4
432	https://www.hurriyetemlak.com/konut-satilik/istanbul-sisli-merkez-sahibinden-daire/detay/32369028	975000	ŞİŞLİDE SAHİBİNDEN FIRSAT SÜPER DAİRE	0-32369028	İstanbul/Şişli/Merkez	4	140	35	5	1	5
444	https://www.hurriyetemlak.com/konut-satilik/istanbul-sisli-duatepe-sahibinden-daire/detay/31970853	590000	SAHİBİNDEN ŞİŞLİ FERİKÖY 160 M2 3+1 İKİ CEPHESİ AÇIK 590.000 TL	0-31970853	İstanbul/Şişli/Duatepe	4	160	25	4	2	3
461	https://www.hurriyetemlak.com/konut-satilik/ankara-cankaya-kirkkonaklar-emlakcidan-daire/detay/25043242	699000	KARAKUŞ'TAN AvENTURİN'DE FIRSAT DAİRE 10.KATTA 5+1	10943-1299	Ankara/Çankaya/Kırkkonaklar	6	232	0	12	2	3
469	https://www.hurriyetemlak.com/konut-satilik/ankara-cankaya-ilkbahar-emlakcidan-daire/detay/31935834	395000	ALTINORAN YALIEVLERİ NDE GÖLE SIFIR 1+1 SATILIK DAİRE	30001-4861	Ankara/Çankaya/İlkbahar	2	83	3	0	1	2
472	https://www.hurriyetemlak.com/konut-satilik/tekirdag-suleymanpasa-100-yil-emlakcidan-daire/detay/32283017	260000	SÜLEYMANPAŞA 100 YIL MAHALLESİNDE 3+1 SATILIK DAİRE	103119-523	Tekirdağ/Süleymanpaşa/100. Yıl	32	145	18	2	1	1
476	https://www.hurriyetemlak.com/konut-satilik/ankara-cankaya-beytepe-emlakcidan-daire/detay/30984105	900000	Beytepe'nin hakkettiği proje N'zeli Burhan Öcal Sitesi	52878-48	Ankara/Çankaya/Beytepe	5	201	0	3	3	4
477	https://www.hurriyetemlak.com/konut-satilik/istanbul-eyup-gokturk-merkez-sahibinden-daire/detay/32283233	1790000	ACİL KEMER COUNTRY AYTEK SİTESİNDE	0-32283233	İstanbul/Eyüp/Göktürk Merkez	3	120	11	0	2	9
480	https://www.hurriyetemlak.com/konut-satilik/ankara-mamak-kazim-orbay-emlakcidan-daire/detay/32082270	199000	ACİL! K.Orbay mh. Komple Baştan Yenilenmiş 3+1 Ara Kat Manzaralı	2460-2130	Ankara/Mamak/Kazım Orbay	4	150	15	2	1	1
482	https://www.hurriyetemlak.com/konut-satilik/ankara-cankaya-bahcelievler-emlakcidan-daire/detay/31517827	535000	BAHÇELİEVLERDE 4+1 YAPILI KATTA MERKEZİ GÜNEYCEden	41152-1126	Ankara/Çankaya/Bahçelievler	5	160	35	1	2	3
487	https://www.hurriyetemlak.com/konut-satilik/ankara-cankaya-cukurambar-sahibinden-daire/detay/32296396	850000	Sahibinden Ankara Çukurambar'da 4+1 160 m2 Arakat Satılık Daire	0-32296396	Ankara/Çankaya/Çukurambar	5	160	15	4	2	4
488	https://www.hurriyetemlak.com/konut-satilik/istanbul-cekmekoy-sultanciftligi-sahibinden-daire/detay/31694508	480000	Satılık 200 m2 Çekmeköy'de Daire	0-31694508	İstanbul/Çekmeköy/Sultançiftliği	5	200	6	4	2	2
492	https://www.hurriyetemlak.com/konut-satilik/ankara-cankaya-mursel-uluc-emlakcidan-daire/detay/32129039	389000	KARAKUŞ'TAN GÜNEY CEPHE SÜPER LÜKS YAPI TAM ARA KAT 140m 	10943-1862	Ankara/Çankaya/Mürsel Uluç	4	140	0	3	2	2
495	https://www.hurriyetemlak.com/konut-satilik/ankara-cankaya-bahcelievler-emlakcidan-daire/detay/32332547	1150000	BAHÇELİEVLERDE HAYATA BAKIŞINIZI DEĞİŞTİRECEK DUBLEKS	33002-5693	Ankara/Çankaya/Bahçelievler	6	250	1	4	4	6
502	https://www.hurriyetemlak.com/konut-satilik/ankara-etimesgut-baglica-emlakcidan-daire/detay/32144598	382000	BAĞLICA'DA HAFTANIN FIRSATI 4+1 ULTRA LÜKS YAPILI DAİRE	102972-132	Ankara/Etimesgut/Bağlıca	5	188	0	3	2	2
508	https://www.hurriyetemlak.com/konut-satilik/istanbul-besiktas-bebek-emlakcidan-daire/detay/31832282	6000000	PRIVATE GAYRİMENKUL DEN BEBEK SAHİLE 10 SANİYE TERASLI KUPON	1252-7326	İstanbul/Beşiktaş/Bebek	4	210	20	4	2	10
524	https://www.hurriyetemlak.com/konut-satilik/mugla-bodrum-gundogan-emlakcidan-mustakil-ev/detay/12365232	1150000	My Home'dan GÜNDOĞAN MERKEZ'de TAM MÜSTAKİL VİLLA	51505-141	Muğla/Bodrum/Gündoğan	4	150	7	0	3	6
539	https://www.hurriyetemlak.com/konut-satilik/ankara-cankaya-hilal-emlakcidan-daire/detay/32308777	345000	ÇANKAYA HİLAL MAH FULL YAPILI 3+1 SÜPER KONUMDA EV	5060-793	Ankara/Çankaya/Hilal	4	138	12	0	1	2
557	https://www.hurriyetemlak.com/konut-satilik/ankara-etimesgut-baglica-emlakcidan-daire/detay/29764975	549000	 Bağlıca Satılık 4+1 Lansmana Özel Fiyatlar- IRMAK GYD	28880-1536	Ankara/Etimesgut/Bağlıca	5	180	0	1	2	3
581	https://www.hurriyetemlak.com/konut-satilik/ankara-etimesgut-eryaman-emlakcidan-daire/detay/32066731	225000	ERYAMAN'DA ORHANBEY CADDESİ AKTÜRK SİTESİNDE DOĞA İÇİNDE	33002-5646	Ankara/Etimesgut/Eryaman	4	115	20	0	1	1
582	https://www.hurriyetemlak.com/konut-satilik/ankara-etimesgut-baglica-emlakcidan-daire/detay/32015560	629000	Miray Park Evleri - Bağlıcanın Yükselen Değeri 4,5+1 Tasarımıyla	28880-1950	Ankara/Etimesgut/Bağlıca	5	205	0	2	2	3
583	https://www.hurriyetemlak.com/konut-satilik/ankara-cankaya-oran-emlakcidan-residence/detay/27671111	1680000	HEMEN TESLİM ONE TOWER DİPLOMATİQUE 3+1	3920-5822	Ankara/Çankaya/Oran	4	151	1	15	1	8
593	https://www.hurriyetemlak.com/konut-satilik/ankara-kecioren-etlik-emlakcidan-daire/detay/32347202	299000	ETLİK AYVALI'DA 2 BLOKLU SİTE İÇİNDE ŞOK FİYATA ACİL 4+1 DAİRE	26004-11776	Ankara/Keçiören/Etlik	5	205	0	1	2	1
604	https://www.hurriyetemlak.com/konut-satilik/istanbul-beykoz-cubuklu-emlakcidan-villa/detay/27485008	18000000	ÇUBUKLU Sahilde FULL BOĞAZ MANZARALI Satılık KUPON VİLLA	1152-2180	İstanbul/Beykoz/Çubuklu	8	600	2	0	6	10
612	https://www.hurriyetemlak.com/konut-satilik/istanbul-sisli-tesvikiye-emlakcidan-daire/detay/32159989	900000	ASSA - TOPAĞACI MEYDANDA, BAHÇELİ, BAKIMLI 2+1 SATILIK DAİRE	4241-2001	İstanbul/Şişli/Teşvikiye	3	120	35	0	1	4
616	https://www.hurriyetemlak.com/konut-satilik/ankara-cankaya-mutlukent-emlakcidan-villa/detay/31805384	2750000	ANGORA EVLERİ TAPULU YAPILI KÖŞE KONUMLU BODRUMSUZ VİLLA	1972-3590	Ankara/Çankaya/Mutlukent	8	400	15	0	4	10
617	https://www.hurriyetemlak.com/konut-satilik/corum-merkez-gulabibey-emlakcidan-daire/detay/32005263	128000	CENGİZYAPI-BAŞÖĞRETMEN OKULU ÇEVRESİNDE SATILIK 2+1 DAİRE	104765-49	Çorum/Merkez/Gülabibey	3	100	8	1	1	1
628	https://www.hurriyetemlak.com/konut-satilik/ankara-cankaya-yasamkent-emlakcidan-daire/detay/32351791	440000	LACİVERT'ten SON FIRSAT PARK ARMONİ DE 4+1 210m2 SATILIK DAİRE	3763-4380	Ankara/Çankaya/Yaşamkent	5	210	7	8	2	2
634	https://www.hurriyetemlak.com/konut-satilik/ankara-cankaya-mutlukent-emlakcidan-daire/detay/32291451	845000	Ümitköy 4+1 Daire	4744-7429	Ankara/Çankaya/Mutlukent	5	174	8	5	2	4
649	https://www.hurriyetemlak.com/konut-satilik/ankara-altindag-ali-ersoy-emlakcidan-daire/detay/32391059	510000	FIRSAT ACİL 4+1 ULSTRA LÜX DAİRE 	15186-1141	Ankara/Altındağ/Ali Ersoy	5	170	0	13	2	3
656	https://www.hurriyetemlak.com/konut-satilik/ankara-cankaya-aydinlar-emlakcidan-daire/detay/32339702	279000	DOĞAN DAN 3+1 CADDE YAKINI ÖN CEPHE FULL YAPILI KATTA	16761-22829	Ankara/Çankaya/Aydınlar	4	125	18	2	1	1
658	https://www.hurriyetemlak.com/konut-satilik/ankara-cankaya-sokullu-mehmet-pasa-emlakcidan-daire/detay/32354471	240000	DOĞAN DAN 3+1 BAĞIMSIZ NİMET SOKAK DA ARA KATTA 3 CEPEHLİ ÖN CP	16761-22865	Ankara/Çankaya/Sokullu Mehmet Paşa	4	125	19	1	1	1
664	https://www.hurriyetemlak.com/konut-satilik/adana-saricam-hurriyet-emlakcidan-bina/detay/32199011	142000	Ajans'tan İncirlik Nizamiye Karşısında Satılık 3+1 Lüks Daire	103106-39	Adana/Sarıçam/Hürriyet	4	130	1	2	1	1
665	https://www.hurriyetemlak.com/konut-satilik/istanbul-besiktas-ortakoy-emlakcidan-daire/detay/32393345	2950000	OLAY!!OLAY!!BUNDAN KELEPİRİ YOK!!4.000 .000 DAN DÜŞTÜ!!	4692-1474	İstanbul/Beşiktaş/Ortaköy	5	185	22	3	2	10
669	https://www.hurriyetemlak.com/konut-satilik/istanbul-kadikoy-caddebostan-sahibinden-daire/detay/32354036	1200000	SAHİBİNDEN CADDEBOSTAN PLAJYOLU SOKAKTA 3+1 SATILIK DAİRE	0-32354036	İstanbul/Kadıköy/Caddebostan	4	100	6	7	2	6
688	https://www.hurriyetemlak.com/konut-satilik/gaziantep-nizip-fatih-sultan-emlakcidan-daire/detay/32394457	385000	NİZİP'te SULTAN EMLAK'dan SATILIK 4+1 DAİRE	100779-22	Gaziantep/Nizip/Fatih Sultan	5	225	3	1	1	2
701	https://www.hurriyetemlak.com/konut-satilik/istanbul-bakirkoy-yesilkoy-emlakcidan-daire/detay/32395090	1200000	R.E.P GAYRİMENKUL' DEN YEŞİLKÖY'DE ŞIK 120 m2 2+1 BAHÇE KATI	2046-17088	İstanbul/Bakırköy/Yeşilköy	3	120	16	0	2	6
707	https://www.hurriyetemlak.com/konut-satilik/ankara-kecioren-etlik-emlakcidan-daire/detay/32392383	399000	ETLİK AYVALI MERKEZDE OTURUMA HAZIR ULTRA LÜX 4+1 DAİRELER...	26004-11906	Ankara/Keçiören/Etlik	5	205	0	1	2	2
712	https://www.hurriyetemlak.com/konut-satilik/istanbul-uskudar-cengelkoy-emlakcidan-daire/detay/32393855	7200000	Çengelköy Mesa Sitesinde Özel Konumlu 6+1 Çatı Dubleksi	28284-2493	İstanbul/Üsküdar/Çengelköy	7	278	7	3	4	10
714	https://www.hurriyetemlak.com/konut-satilik/denizli-merkez-servergazi-emlakcidan-daire/detay/32391685	265000	PRESTİJ'DEN SERVERGAZİ MAH SİTE İÇİ FIRSAT DAİRE	50083-5270	Denizli/Merkez/Servergazi	3	125	15	2	1	1
715	https://www.hurriyetemlak.com/konut-satilik/istanbul-beyoglu-gumussuyu-emlakcidan-daire/detay/32390432	6000000	CEYLAN'DAN,GÜMÜŞSUYU İNÖNÜ CADDESİNDE,TARİHİ BİNADA,150M2 DAİRE	18707-10308	İstanbul/Beyoğlu/Gümüşsuyu	4	150	40	5	1	10
721	https://www.hurriyetemlak.com/konut-satilik/ankara-kecioren-etlik-emlakcidan-daire/detay/32383741	950000	ÜNSALLAR'DAN SİTE İÇİNDE YOZGAT BULVARI YANI ULTRA LÜX PROJE	26004-11874	Ankara/Keçiören/Etlik	5	265	0	12	2	5
